,SCMP China,France,Germany,UK,US
99,50.3678868,117.0465663,34.60283564,82.2506791,78.39587328
100,105.3501677,149.0582621,66.39904964,79.3329937,75.09076519
101,42.9722571,117.7484239,95.04406017,86.56476047,82.00558946
102,35.5552118,101.2715154,80.35967703,64.4383183,71.93954706
103,92.99913857,85.01700717,68.51801349,63.62026739,59.61723244
104,68.26113608,156.9485913,202.5643347,120.4776571,105.7698564
105,32.7294774,62.82376911,83.17199665,68.67493245,79.82999973
106,86.7579808,85.19086769,140.0655421,83.49024957,60.06785223
107,57.22021085,53.46963973,63.61540505,52.24917122,70.02675641
108,83.60843849,78.60295305,88.12340394,41.81970442,75.07923787
109,64.71510304,55.29086298,76.18671685,68.73345451,69.49174528
110,84.22509569,68.94371129,94.21290379,50.96133686,55.00807288
111,133.5047002,103.3140093,79.12750266,56.40462404,81.65172365
112,66.02269538,88.35649546,71.28854596,98.10707277,67.80979905
113,110.9243461,96.58041983,105.8366317,94.18513113,82.58628252
114,42.70708719,84.71546207,98.15416648,69.13067779,84.47445648
115,36.35945227,47.26743365,59.31984474,75.90216199,71.5150949
116,71.51866428,58.60936452,93.78133334,94.98159303,61.75134643
117,74.12514591,102.5792541,54.06163367,68.01689955,55.62951083
118,43.89590322,45.52824124,71.95194214,91.79184501,49.59913099
119,67.67838676,65.25806223,84.13798832,80.55703802,51.03903886
120,80.17083733,100.0644137,74.49567051,68.25110617,74.51002654
121,64.65912111,110.7916511,47.32786165,50.54887696,50.86002527
122,70.07432251,69.7836973,100.4476569,39.88483942,72.52986574
123,68.33133951,79.72940409,69.16750924,56.02066696,59.84139351
124,47.7915243,110.5976319,28.43398527,52.00436747,71.13732015
125,77.0894637,74.18858888,45.65317418,47.32553196,68.75923281
126,136.7205776,48.65172769,37.95064849,30.46880283,44.78275066
127,56.7362403,151.1452994,117.5662955,60.00445467,90.00729662
128,90.57120336,267.5460895,186.6208518,128.6735353,109.8926555
129,92.54259734,147.1582011,141.7201668,82.11963906,90.64007585
130,108.4284754,113.9740666,88.4424617,134.3202605,106.5661652
131,93.8269296,120.6578802,116.0400534,91.71972844,116.9908972
132,142.8052425,224.4404664,186.5390985,139.5479005,177.0422066
133,157.7542678,144.977137,127.3486535,132.7440348,108.3147367
134,174.0117215,191.3272224,91.62520594,217.7699726,114.4745761
135,145.5144919,120.201204,78.17948455,115.2067193,98.19769865
136,100.6835843,73.11942262,53.69578469,120.2624756,88.67343413
137,157.0119332,108.1952882,114.4253694,134.1222228,89.13688333
138,152.1179238,87.52263721,85.72581955,123.123961,115.1027243
139,205.6284567,107.7161781,86.25925002,125.4557142,81.16307827
140,298.387002,206.8439708,155.911751,185.3356391,238.1718742
141,187.5682409,272.4897559,256.0717838,251.486341,241.7722778
142,194.2370385,170.8103949,188.7566897,201.9815712,162.713384
143,232.7663926,217.3597677,192.4884437,111.9768752,157.828677
144,223.546869,216.7999363,174.7227435,158.6422181,184.8178304
145,170.9781411,163.9576831,121.9993255,153.1646431,202.5479667
146,184.4957667,125.6445591,144.333109,141.8159438,167.9912194
147,152.9133236,126.0774497,120.310985,147.2951419,107.927248
148,91.1647079,117.1136841,112.8020287,148.2398017,125.9446213
149,131.5288105,111.8803206,136.3208325,157.728827,112.4726351
150,103.9319156,108.008304,79.35401615,113.3862457,104.3551071
151,92.43109317,98.04608853,122.8791616,95.39430783,111.1743394
152,160.9516451,118.8825641,59.58785113,111.0358246,99.00963606
153,75.79626366,124.0478245,84.36804969,142.2283846,86.24175958
154,68.89027097,213.2901088,106.5705796,132.3121052,99.77926919
155,74.85823135,140.3594552,76.33285647,171.2540042,108.3960871
156,95.78208426,147.0803791,105.5710843,209.1473263,136.8638568
157,103.444367,171.1174838,121.4370072,163.1825231,116.7215571
158,90.39569948,169.5692167,116.4701969,208.9407233,124.6875089
159,46.7454309,152.0073606,153.8355469,214.0236659,123.7022049
160,156.548618,368.2284461,156.3809576,238.265501,147.7632571
